Player,Tm,FantPos,G,PPR,storage
Nick O'Leary,2TM,TE,12,29.9,29.9
Nick Vannett,2TM,TE,16,33.6,33.6
Noah Fant,DEN,TE,16,111.0,111.0
Nsimba Webster,LAR,N/A,5,0.0,0.0
Nyheim Hines,IND,RB,16,117.9,117.9
O.J. Howard,TAM,TE,14,83.9,83.9
Odell Beckham Jr.,CLE,WR,16,201.3,201.3
Olabisi Johnson,MIN,WR,16,79.0,79.0
Olamide Zaccheaus,ATL,WR,10,26.5,26.5
Parris Campbell,IND,WR,7,38.1,38.1
Patrick DiMarco,BUF,RB,16,9.8,9.8
Patrick Laird,MIA,RB,15,68.2,68.2
Patrick Mahomes*,KAN,QB,14,287.0,287.0
Patrick Ricard*,BAL,RB,16,18.7,18.7
Paul Perkins,DET,RB,4,4.8,4.8
Paul Richardson,WAS,WR,10,64.5,64.5
Peyton Barber,TAM,RB,16,116.5,116.5
Pharaoh Brown,CLE,TE,9,4.7,4.7
Pharoh Cooper,2TM,WR,13,55.5,55.5
Philip Rivers,LAC,QB,16,235.5,235.5
Phillip Dorsett,NWE,WR,14,100.8,100.8
Phillip Lindsay,DEN,RB,16,197.7,197.7
Preston Williams,MIA,WR,8,90.8,90.8
Qadree Ollison,ATL,RB,8,30.7,30.7
Quincy Enunwa,NYJ,WR,1,-1.4,-1.4
Raheem Mostert,SFO,RB,16,165.2,165.2
Randall Cobb,DAL,WR,15,154.9,154.9
Rashaad Penny,SEA,RB,10,75.3,75.3
Rashard Davis,TEN,WR,1,2.6,2.6
Rashard Higgins,CLE,WR,10,15.5,15.5
Ray-Ray McCloud,CAR,N/A,6,-2.0,-2.0
Reggie Bonnafon,CAR,RB,16,29.3,29.3
Rex Burkhead,NWE,RB,13,101.1,101.1
Rhett Ellison,NYG,TE,10,40.7,40.7
Richard Rodgers,PHI,N/A,1,0.0,0.0
Richie James,SFO,WR,16,26.4,26.4
Ricky Ortiz,NOR,RB,1,1.8,1.8
Ricky Seals-Jones,CLE,TE,14,58.9,58.9
Rico Gafford,OAK,WR,4,14.6,14.6
Riley Ridley,CHI,WR,5,12.9,12.9
River Cracraft,DEN,N/A,1,0.0,0.0
Robby Anderson,NYJ,WR,16,162.3,162.3
Robert Davis,2TM,WR,6,3.7,3.7
Robert Foster,BUF,WR,13,12.3,12.3
Robert Griffin III,BAL,QB,7,16.0,16.0
Robert Tonyan,GNB,TE,11,26.0,26.0
Robert Turbin,SEA,N/A,1,0.0,0.0
Robert Woods,LAR,WR,15,232.9,232.9
Rod Smith,2TM,N/A,6,0.0,0.0
Ronald Jones II,TAM,RB,16,166.3,166.3
Roosevelt Nix,PIT,RB,3,2.4,2.4
Ross Dwelley,SFO,TE,16,36.1,36.1
Ross Travis,IND,TE,3,7.1,7.1
Royce Freeman,DEN,RB,16,142.2,142.2
Russell Gage,ATL,WR,16,98.8,98.8
Russell Shepard,NYG,WR,3,5.5,5.5
Russell Wilson*,SEA,QB,16,328.6,328.6
Ryan Finley,CIN,QB,3,24.7,24.7
Ryan Fitzpatrick,MIA,QB,15,241.5,241.5
Ryan Grant,OAK,WR,2,5.4,5.4
Ryan Griffin,NYJ,TE,13,98.0,98.0
Ryan Griffin,TAM,QB,2,0.6,0.6
Ryan Izzo,NWE,TE,6,23.4,23.4
Ryan Nall,CHI,RB,8,0.8,0.8
Ryan Switzer,PIT,WR,9,10.7,10.7
Ryan Tannehill*,TEN,QB,12,224.2,224.2
Ryquell Armstead,JAX,RB,16,51.2,51.2
Sam Darnold,NYJ,QB,13,189.2,189.2
Samaje Perine,2TM,RB,7,1.6,1.6
Sammy Watkins,KAN,WR,14,138.5,138.5
Saquon Barkley,NYG,RB,13,244.1,244.1
Scott Miller,TAM,WR,10,40.6,40.6
Scott Simonson,NYG,TE,5,3.1,3.1
Sean Culkin,LAC,TE,4,2.2,2.2
Sean Mannion,MIN,QB,3,-1.5,-1.5
Senorise Perry,BUF,RB,11,1.4,1.4
Seth Devalve,JAX,TE,12,26.0,26.0
Seth Roberts,BAL,WR,16,60.1,60.1
Sony Michel,NWE,RB,16,152.6,152.6
Spencer Schnell,TAM,N/A,1,0.0,0.0
Spencer Ware,KAN,RB,3,12.3,12.3
Stanley Morgan Jr.,CIN,WR,11,4.8,4.8
Stefon Diggs,MIN,WR,15,212.1,212.1
Stephen Anderson,LAC,N/A,1,0.0,0.0
Stephen Carlson,CLE,TE,9,16.1,16.1
